"Region","year","population","population_last_year"
"AL",2018,4891628,4891628
"AL",2019,4907965,4891628
"AL",2020,5031362,4907965
"AL",2021,5049846,5031362
"AL",2022,5074296,5049846
"AK",2018,736624,736624
"AK",2019,733603,736624
"AK",2020,732923,733603
"AK",2021,734182,732923
"AK",2022,733583,734182
"AZ",2018,7164228,7164228
"AZ",2019,7291843,7164228
"AZ",2020,7179943,7291843
"AZ",2021,7264877,7179943
"AZ",2022,7359197,7264877
"AR",2018,3012161,3012161
"AR",2019,3020985,3012161
"AR",2020,3014195,3020985
"AR",2021,3028122,3014195
"AR",2022,3045637,3028122
"CA",2018,39437463,39437463
"CA",2019,39437610,39437463
"CA",2020,39501653,39437610
"CA",2021,39142991,39501653
"CA",2022,39029342,39142991
"CO",2018,5697155,5697155
"CO",2019,5758486,5697155
"CO",2020,5784865,5758486
"CO",2021,5811297,5784865
"CO",2022,5839926,5811297
"CT",2018,3574561,3574561
"CT",2019,3566022,3574561
"CT",2020,3597362,3566022
"CT",2021,3623355,3597362
"CT",2022,3626205,3623355
"DE",2018,966985,966985
"DE",2019,976668,966985
"DE",2020,992114,976668
"DE",2021,1004807,992114
"DE",2022,1018396,1004807
"FL",2018,21254926,21254926
"FL",2019,21492056,21254926
"FL",2020,21589602,21492056
"FL",2021,21828069,21589602
"FL",2022,22244823,21828069
"GA",2018,10519389,10519389
"GA",2019,10628020,10519389
"GA",2020,10729828,10628020
"GA",2021,10788029,10729828
"GA",2022,10912876,10788029
"HI",2018,1423102,1423102
"HI",2019,1415615,1423102
"HI",2020,1451043,1415615
"HI",2021,1447154,1451043
"HI",2022,1440196,1447154
"ID",2018,1752074,1752074
"ID",2019,1789060,1752074
"ID",2020,1849202,1789060
"ID",2021,1904314,1849202
"ID",2022,1939033,1904314
"IL",2018,12724685,12724685
"IL",2019,12667017,12724685
"IL",2020,12786580,12667017
"IL",2021,12686469,12786580
"IL",2022,12582032,12686469
"IN",2018,6698481,6698481
"IN",2019,6731010,6698481
"IN",2020,6788799,6731010
"IN",2021,6813532,6788799
"IN",2022,6833037,6813532
"IA",2018,3149900,3149900
"IA",2019,3159596,3149900
"IA",2020,3190571,3159596
"IA",2021,3197689,3190571
"IA",2022,3200517,3197689
"KS",2018,2912748,2912748
"KS",2019,2912635,2912748
"KS",2020,2937919,2912635
"KS",2021,2937922,2937919
"KS",2022,2937150,2937922
"KY",2018,4464273,4464273
"KY",2019,4472345,4464273
"KY",2020,4507445,4472345
"KY",2021,4506589,4507445
"KY",2022,4512310,4506589
"LA",2018,4664450,4664450
"LA",2019,4658285,4664450
"LA",2020,4651664,4658285
"LA",2021,4627098,4651664
"LA",2022,4590241,4627098
"ME",2018,1340123,1340123
"ME",2019,1345770,1340123
"ME",2020,1363557,1345770
"ME",2021,1377238,1363557
"ME",2022,1385340,1377238
"MD",2018,6042153,6042153
"MD",2019,6054954,6042153
"MD",2020,6173205,6054954
"MD",2021,6174610,6173205
"MD",2022,6164660,6174610
"MA",2018,6885720,6885720
"MA",2019,6894883,6885720
"MA",2020,6995729,6894883
"MA",2021,6989690,6995729
"MA",2022,6981974,6989690
"MI",2018,9987286,9987286
"MI",2019,9984795,9987286
"MI",2020,10069577,9984795
"MI",2021,10037504,10069577
"MI",2022,10034113,10037504
"MN",2018,5608762,5608762
"MN",2019,5640053,5608762
"MN",2020,5709852,5640053
"MN",2021,5711471,5709852
"MN",2022,5717184,5711471
"MS",2018,2982879,2982879
"MS",2019,2978227,2982879
"MS",2020,2958141,2978227
"MS",2021,2949586,2958141
"MS",2022,2940057,2949586
"MO",2018,6125986,6125986
"MO",2019,6140475,6125986
"MO",2020,6153998,6140475
"MO",2021,6169823,6153998
"MO",2022,6177957,6169823
"MT",2018,1061818,1061818
"MT",2019,1070123,1061818
"MT",2020,1087075,1070123
"MT",2021,1106227,1087075
"MT",2022,1122867,1106227
"NE",2018,1925512,1925512
"NE",2019,1932571,1925512
"NE",2020,1962642,1932571
"NE",2021,1963554,1962642
"NE",2022,1967923,1963554
"NV",2018,3030725,3030725
"NV",2019,3090771,3030725
"NV",2020,3115648,3090771
"NV",2021,3146402,3115648
"NV",2022,3177772,3146402
"NH",2018,1355064,1355064
"NH",2019,1360783,1355064
"NH",2020,1378587,1360783
"NH",2021,1387505,1378587
"NH",2022,1395231,1387505
"NJ",2018,8891730,8891730
"NJ",2019,8891258,8891730
"NJ",2020,9271689,8891258
"NJ",2021,9267961,9271689
"NJ",2022,9261699,9267961
"NM",2018,2093754,2093754
"NM",2019,2099634,2093754
"NM",2020,2118390,2099634
"NM",2021,2116677,2118390
"NM",2022,2113344,2116677
"NY",2018,19544098,19544098
"NY",2019,19463131,19544098
"NY",2020,20108296,19463131
"NY",2021,19857492,20108296
"NY",2022,19677151,19857492
"NC",2018,10391358,10391358
"NC",2019,10501384,10391358
"NC",2020,10449445,10501384
"NC",2021,10565885,10449445
"NC",2022,10698973,10565885
"ND",2018,760062,760062
"ND",2019,763724,760062
"ND",2020,779518,763724
"ND",2021,777934,779518
"ND",2022,779261,777934
"OH",2018,11680892,11680892
"OH",2019,11696507,11680892
"OH",2020,11797517,11696507
"OH",2021,11764342,11797517
"OH",2022,11756058,11764342
"OK",2018,3943488,3943488
"OK",2019,3960676,3943488
"OK",2020,3964912,3960676
"OK",2021,3991225,3964912
"OK",2022,4019800,3991225
"OR",2018,4183538,4183538
"OR",2019,4216116,4183538
"OR",2020,4244795,4216116
"OR",2021,4256301,4244795
"OR",2022,4240137,4256301
"PA",2018,12809107,12809107
"PA",2019,12798883,12809107
"PA",2020,12994440,12798883
"PA",2021,13012059,12994440
"PA",2022,12972008,13012059
"RI",2018,1059338,1059338
"RI",2019,1058158,1059338
"RI",2020,1096345,1058158
"RI",2021,1096985,1096345
"RI",2022,1093734,1096985
"SC",2018,5091702,5091702
"SC",2019,5157702,5091702
"SC",2020,5131848,5157702
"SC",2021,5193266,5131848
"SC",2022,5282634,5193266
"SD",2018,879386,879386
"SD",2019,887127,879386
"SD",2020,887799,887127
"SD",2021,896164,887799
"SD",2022,909824,896164
"TN",2018,6778180,6778180
"TN",2019,6830325,6778180
"TN",2020,6925619,6830325
"TN",2021,6968351,6925619
"TN",2022,7051339,6968351
"TX",2018,28624564,28624564
"TX",2019,28986794,28624564
"TX",2020,29232474,28986794
"TX",2021,29558864,29232474
"TX",2022,30029572,29558864
"DC",2018,704147,704147
"DC",2019,708253,704147
"DC",2020,670868,708253
"DC",2021,668791,670868
"DC",2022,671803,668791
"UT",2018,3155153,3155153
"UT",2019,3203383,3155153
"UT",2020,3283785,3203383
"UT",2021,3339113,3283785
"UT",2022,3380800,3339113
"VT",2018,624802,624802
"VT",2019,624046,624802
"VT",2020,642893,624046
"VT",2021,646972,642893
"VT",2022,647064,646972
"VA",2018,8510920,8510920
"VA",2019,8556642,8510920
"VA",2020,8636471,8556642
"VA",2021,8657365,8636471
"VA",2022,8683619,8657365
"WA",2018,7526793,7526793
"WA",2019,7614024,7526793
"WA",2020,7724031,7614024
"WA",2021,7740745,7724031
"WA",2022,7785786,7740745
"WV",2018,1805953,1805953
"WV",2019,1795263,1805953
"WV",2020,1791420,1795263
"WV",2021,1785526,1791420
"WV",2022,1775156,1785526
"WI",2018,5809319,5809319
"WI",2019,5824581,5809319
"WI",2020,5896271,5824581
"WI",2021,5880101,5896271
"WI",2022,5892539,5880101
"WY",2018,579054,579054
"WY",2019,580116,579054
"WY",2020,577605,580116
"WY",2021,579483,577605
"WY",2022,581381,579483
